name,show_date
Attachments,2019-06-22
Eat,2019-08-30
JaJunk,2019-04-03
Puppet String,2017-02-18
Draconian,2017-07-01
2x2,2017-09-02
Ringo,2017-09-23
Sociable Jimmy,2017-12-29
Bad Friday,2016-01-22
Ringo,2016-02-06
1348,2016-12-30
Hurt Bird Bath,2016-12-30
Plunger,2015-07-16
Red Tape,2015-12-31
Mantis,2014-03-06
JaJunk,2014-07-05
Wappy Sprayberry,2014-07-05
Similar Skin,2014-10-22
Cemetery Walk II,2014-10-22
Driven to Tears,2014-10-22
The Triple Wide,2013-12-28
JaJunk,2012-03-25
Ocean Billy,2012-09-14
Puppet String,2012-09-14
Cocaine,2012-12-30
Preamble,2012-12-30
"Bright Lights, Big City",2012-12-30
Higgins,2012-12-31
1348,2011-02-05
"Bright Lights, Big City",2011-02-11
Ocean Billy,2011-12-31
All In Time,2010-02-25
Girlfriend is Better,2010-07-17
JaJunk,2010-12-30
2x2,2010-12-30
Ocean Billy,2019-01-12
Similar Skin,2019-07-03
Ocean Billy,2018-07-07
Women Wine and Song,2018-07-07
Attachments,2018-08-18
Slacker,2018-12-30
Nemo,2017-03-18
Front Porch,2016-01-02
Resolution,2016-10-27
Utopian Fir,2015-01-30
Much Obliged,2014-02-07
Blue Echo,2014-12-30
Debra,2013-05-25
Bad Friday,2013-12-31
Rocker Part 2,2010-05-28
In The Kitchen,2010-05-28
Wappy Sprayberry,2010-07-03
Conduit,2010-12-29
Bridgeless,2010-12-29
Attachments,2019-01-18
Syncopated Strangers,2018-02-01
FF,2017-04-27
Utopian Fir,2016-07-02
In The Kitchen,2016-07-02
Draconian,2018-01-13
1000 Places to See Before You Die,2018-01-13
Andy's Last Beer,2018-06-30
Wizard Burial Ground,2018-10-18
Liquid,2018-10-18
Last Man Swerving,2017-01-13
1348,2015-02-20
Night Nurse,2015-08-20
Wizard Burial Ground,2014-05-04
Wappy Sprayberry,2012-04-28
Preamble,2019-02-16
Mantis,2019-02-16
All In Time,2019-07-19
Phil's Farm,2016-10-20
#5,2016-10-20
August,2014-04-19
Got Your Milk (Right Here),2012-09-22
Blue Echo,2012-10-18
Slacker,2012-12-28
All In Time,2010-12-31
Phil's Farm,2018-07-06
Chapter 5,2016-01-28
Chapter 9,2016-01-28
Rocker Part 2,2015-02-06
Den,2014-11-01
Bridgeless,2014-11-01
Robot World,2017-01-22
1348,2017-05-27
Push the Pig,2017-07-23
#5,2015-01-16
Higgins,2015-05-23
Intentions Clear,2015-10-30
#5,2014-05-23
Stanton,2014-10-30
Wappy Sprayberry,2013-11-01
Plunger,2019-08-15
Night Nurse,2018-03-15
Higgins,2017-08-20
Front Porch,2015-06-28
Resolution,2015-06-28
2x2,2015-06-28
"Hey, Hey What Can I Do",2015-06-28
Root Beer Rag,2015-06-28
Cut the Cable,2015-07-03
Shine On You Crazy Diamond,2015-07-03
Onward & Upward,2014-05-03
Front Porch,2014-11-08
Where Is My Mind?,2014-11-08
Der Bluten Kat,2013-12-29
Amble On,2013-12-29
Red Tape,2011-05-27
All In Time,2011-10-29
Come As Your Kids,2011-10-29
In The Puppet Kitchen,2011-10-29
Little Gift,2019-03-23
Attachments,2019-05-31
Kabump,2018-08-19
Resolution,2019-03-29
The Silent Type,2018-01-27
Robot World,2013-06-08
Utopian Fir,2019-01-26
Dump City,2019-03-21
Cemetery Walk II,2018-12-31
Syncopated Strangers,2014-04-10
Blue Echo,2019-02-14
In The Kitchen,2019-08-17
Ringo,2019-12-30
Utopian Fir,2016-02-20
August,2016-02-20
In The Kitchen,2012-11-01
Robot World,2011-02-18
Jam,2011-04-02
Divisions,2018-07-05
Got Your Milk (Right Here),2018-10-12
Atmosfarag,2017-02-17
Phil's Farm,2017-06-30
Rebubula,2013-05-24
Blue Echo,2013-12-30
Nothing Too Fancy,2010-06-30
No Comment,2012-08-07
Conduit,2017-03-02
Wife Soup,2015-08-14
Dump City,2013-10-16
The Linear,2010-10-30
Spires,2019-08-25
Preamble,2018-01-25
Mantis,2018-01-25
Puppet String,2016-12-31
Call to Arms,2016-12-31
Kabump,2013-02-14
All In Time,2016-07-03
Soul Food I,2015-10-26
Ringo,2014-10-25
The Haunt,2011-11-05
Hurt Bird Bath,2014-10-29
When the World Is Running Down You Make the Best of What's Still Around,2012-02-19
Utopian Fir,2016-03-24
Resolution,2013-08-23
Night Nurse,2010-02-11
Utopian Fir,2010-02-11
Conduit,2013-08-17
Utopian Fir,2016-03-10
Another Brick in the Wall,2017-01-20
Utopian Fir,2020-02-13
Resolution,2020-01-19
Front Porch,2020-09-03
Wappy Sprayberry,2020-01-17
Domino Theory,2020-01-19
Night Nurse,2020-02-15
Cut the Cable,2020-01-29
Kabump,2020-02-01
Sociable Jimmy,2020-02-01
Seasons,2020-09-05
Wizard Burial Ground,2020-01-17
Deeper,2020-01-17
Den,2020-01-17
Great American,2020-02-14
Voodoo Child,2020-02-15
Der Bluten Kat,2020-01-18
Der Bluten Kat,2020-02-26
Smell the Mitten,2020-02-14
Nothing Too Fancy,2020-10-09
Comma Later,2020-10-09
