name,show_date,with_lyrics
Orfeo,1998-01-31,False
Slow,1998-05-08,False
Muffburger Sandwich,1998-10-10,False
Muffburger Sandwich,1998-10-10,True
G-Song,1999-04-01,False
Slacker,1999-05-15,False
Fool in the Rain,1999-05-19,False
Slacker,1999-06-05,False
G-Song,1999-06-18,False
Mamu,1999-08-20,False
Front Porch,1999-08-22,False
Hey Nineteen,2000-01-29,False
Slacker,2000-02-19,False
Fool in the Rain,2000-02-19,False
Hey Nineteen,2000-02-25,False
Cantaloupe Island,2000-02-26,False
Slacker,2000-02-26,False
Garbage Man,2000-03-04,False
Slacker,2000-03-04,False
Hangover,2000-03-31,False
Hey Nineteen,2000-05-27,False
Hey Nineteen,2000-06-15,False
Cantaloupe Island,2000-06-30,False
Up on Cripple Creek,2000-06-30,False
2nd Self,2000-06-30,False
Young Lust,2000-08-26,False
Q*Bert,2000-09-07,False
Young Lust,2000-09-07,False
Front Porch,2000-10-16,False
Q*Bert,2000-10-27,False
Prowler,2000-10-27,False
August,2000-10-28,False
2nd Self,2000-11-10,False
Prowler,2000-12-07,False
Kabump,2001-02-24,False
Nothing Too Fancy,2001-02-24,False
Kabump,2001-03-01,False
Tribute to the Spinal Shaft,2001-03-01,False
Sweetness,2001-03-02,False
Front Porch,2001-03-03,False
Slacker,2001-04-03,False
Prowler,2001-04-03,False
Q*Bert,2001-04-03,False
Coming In From the Cold,2001-04-04,False
August,2001-04-04,False
Sweetness,2001-04-13,False
Slacker,2001-04-13,False
Power of Soul,2001-04-13,False
Prowler,2001-04-20,False
Syncopated Strangers,2001-05-03,False
Fool in the Rain,2001-05-03,False
Out Of Order,2001-05-12,False
Slacker,2001-05-19,False
Front Porch,2001-05-25,False
Rastaman Chant,2001-05-31,False
Sweetness,2001-07-02,False
Front Porch,2001-07-09,False
Kabump,2001-07-11,False
Slacker,2001-07-17,False
Much Obliged,2001-07-18,False
Andy's Last Beer,2001-08-11,False
Prowler,2001-08-18,False
Example 1,2001-08-18,False
Nothing Too Fancy,2001-08-24,False
Blue Echo,2001-08-31,False
Space Funk Booty,2001-09-02,False
FF,2001-09-06,False
Kabump,2001-09-06,False
Hajimemashite,2001-09-06,False
August,2001-09-06,False
Sweetness,2001-09-17,False
Utopian Fir,2001-09-17,False
Young Lust,2001-09-18,False
Hangover,2001-09-18,False
Kabump,2001-09-20,False
Tribute to the Spinal Shaft,2001-09-21,False
Nothing Too Fancy,2001-09-21,False
"""Jimmy Stewart""",2001-09-21,False
2nd Self,2001-09-23,False
"""Jimmy Stewart""",2001-09-23,False
Fool in the Rain,2001-09-23,False
Blue Echo,2001-10-04,False
August,2001-10-04,False
"""Jimmy Stewart""",2001-10-05,False
"""Jimmy Stewart""",2001-10-11,False
"""Jimmy Stewart""",2001-10-12,False
Blue Echo,2001-10-24,False
Rastaman Chant,2001-10-24,False
Willie the Pimp,2001-10-26,False
Hajimemashite,2001-10-27,False
FF,2001-10-27,False
Prowler,2001-10-31,False
"""Jimmy Stewart""",2001-10-31,False
2x2,2001-11-02,False
"""Jimmy Stewart""",2001-11-16,False
Stonehenge,2001-11-17,False
"""Jimmy Stewart""",2001-11-30,False
Nothing Too Fancy,2001-11-30,False
Flying,2001-11-30,False
"""Jimmy Stewart""",2001-12-01,False
The Fuzz,2001-12-05,False
Willie the Pimp,2001-12-06,False
"""Jimmy Stewart""",2001-12-12,False
My Favorite Things,2001-12-12,False
Slacker,2001-12-12,False
Mediterranean Sundance,2001-12-13,False
FF,2001-12-13,False
Front Porch,2001-12-14,False
Kabump,2002-01-23,False
Rastaman Chant,2002-01-23,False
FF,2002-01-26,False
Hurt Bird Bath,2002-01-26,False
