song_id,code
2,5
3,13DYS
4,2SELF
5,2X2
6,40THM
7,ALEXS
8,TIME
9,NINJA
10,DROPS
11,ANDYS
12,ATMOS
13,AGST
14,POKER
15,BELIE
16,ECHO
17,LOVE
18,BRIDG
19,BRGHT
20,BLLHD
21,WALK
22,WALK2
24,CNDT
25,DAY
26,DEAR
27,DEEPE
28,BLTN
29,DMSN
30,DIVIS
31,THRY
32,DUMP
33,EAT
34,EOTR
35,EX1
36,FF
37,FORKS
38,PORCH
39,GITV
40,GLORY
41,HELL
42,MILK
43,AMERI
44,GULF
45,HAJIM
46,HNGVR
47,HEADP
48,HGGNS
49,HOURG
50,HURT
51,KITCH
52,VLTN
53,CLEAR
54,JJNK
55,KBMP
56,KATS
57,KEEFE
58,KMBL
59,KULA
60,wappy
61,SWERV
62,LINEA
63,LIQUI
64,MEASU
65,MAIL
66,MAMU
67,MNTS
68,GHTTS
69,MMRS
70,MIAMI
71,OVRTR
72,MORNI
73,MUCH
74,MLCHS
75,OVER
76,NEMO
77,nemos
78,CEASE
79,NURSE
80,NPNR
81,CMMNT
82,FANCY
83,OCEAN
84,ORFEO
85,ORDER
86,PRFL
87,PEEPS
88,PSSNG
89,SNCK
91,PHILS
92,7ntn
93,PLNGR
94,pork
95,PRMBL
96,WRMBG
97,PROPH
98,PRWLR
99,STRNG
100,PUSH
101,QBERT
102,RYMND
103,ROOM
104,TAPE
105,RSLTN
106,PONY
107,RINGO
108,ROBOT
109,RCKR
110,RCKR2
111,RLTT
112,SRCH4
113,SLCKR
114,SMELL
115,SNAKE
116,JIMMY
117,SOUL1
118,SOUL2
119,BOOTY
120,SPRS
121,SSNH
122,SWEET
123,SYNCO
125,BOTTO
126,CRKD1
127,FLOOR
128,FUSSY
129,FUZZ
130,HAUNT
131,PEQUO
132,3WIDE
133,WEIGH
134,THIN
135,SHAFT
136,TURN
137,RUN
138,UNCLE
139,UNCOM
140,UTPN
142,WAIST
143,WALLE
144,WAPPY
145,WATER
146,WELLW
147,MOCCA
148,WIFE
149,WZRD
150,WINE
151,WORDS
152,515
154,50wly
155,5aob
156,agogo
157,sleep
158,sprm
159,abcb
160,afrc
161,after
162,anfih
163,snshn
164,aint
165,long
166,grace
167,jstc
168,brick
169,baba
170,youre
171,bad
172,botr
173,bell
174,botto
175,big
176,jean
177,bday
178,hole
179,mssh
180,sbbth
181,black
182,bldy
183,bombt
184,lovin
185,brain
186,brth
187,sighs
190,brnng
191,find
192,hear
193,you
194,carol
195,carry
196,chrb
197,ctih
199,lites
200,cocai
201,close
202,mama
203,toget
204,numb
205,hell
206,crazy
207,drigb
208,drmng
209,dear
210,dick
211,pony
212,dirty
213,do
214,fear
215,dstyg
216,under
217,flgd
218,eti
219,easy
220,emnnc
221,equal
223,fame
224,frlss
225,flyng
226,fool
228,ggrn2
229,gldn
230,boys
231,ggs
233,hlms
234,cigar
235,ihitg
236,heart
238,hltr
239,hey19
241,lsly
242,hldng
243,holly
245,again
246,sweet
247,hooch
248,tchr
249,hystr
250,wlrs
251,iran
252,ishfw
253,drug
254,iwyss
255,immig
256,bloom
257,flesh
258,hmk
259,karma
260,inter
261,iatt
262,igbln
263,its
264,flng
265,jane
266,jssc
268,jtou2
269,kshmr
270,kinky
271,train
272,late
273,layla
274,lglz
275,lenny
276,let
277,whsky
278,roll
279,liszt
280,wing
281,cllng
282,1927
283,ltbbl
284,mkng
285,mich
286,maple
287,tanga
288,mstrd
289,sndnc
290,aisle
291,mmphs
293,grdnk
294,moby
297,mood
299,nitty
300,schl
301,gmblr
302,night
303,ntrt
304,more
305,ordin
306,wood
307,thang
308,ophl
309,panam
310,pearl
311,pgeby
312,ppln
313,play
314,polyt
315,POOH
316,soul
317,rain
318,rnbw
319,1235
320,chant
321,red
322,baron
323,rity
324,rglt
325,relea
326,rhino
327,off
329,rsnn
330,devil
331,clint
332,sfty
333,itln
334,seek
335,semou
336,farm
338,sctbw
339,katy
340,19syo
341,shine
342,show
343,gifts
344,sstr
345,sledg
346,DEATH
347,swht
350,razor
351,sveng
352,mine
353,sungl
354,all
355,thats
357,same
358,star
359,stran
360,weigh
362,thela
363,them
364,thund
365,time
366,tpddd
367,tmrrw
368,trenc
369,diffe
370,insd
371,wbsh
372,wtng
373,moon
374,pigs
375,wgtw
376,wwrdy
377,wild
378,pimp
379,wywh
380,wlhfm
381,xxplo
382,blame
383,ygtl
384,ykwim
386,young
387,yyz
388,1348
389,CTSHT
390,TANGO
392,BRTH
393,girlf
394,2song
395,TRIX
396,auld
397,JAM
398,MUFF
399,MUFFB
400,STEW
401,10GRD
402,BOB
403,GSONG
404,HOURS
405,OTHER
406,VIBE
407,bubbl
408,hydro
409,dance
410,cheap
411,cntlp
412,buses
413,DRUMS
414,STRT
415,live
416,mikes
417,NOSE
418,pour
419,rbbl
420,antlp
421,creek
422,wkpg
423,slipk
424,pow
425,hotw
426,cayk
427,lucy
428,philo
429,swyr
430,LIES
431,vygr
432,tower
433,bthtb
434,jump
435,ptnc
436,werew
438,GRGL
439,THRS
440,2564
441,ave
442,HONEY
443,cltc
444,HYDE
445,lvly
446,natio
447,mntr
448,stir
449,albm
450,wanna
451,SALAM
452,vous
453,cissy
454,FLAME
455,NCHS2
456,amnq
457,spain
458,tigry
459,rift
460,nbrsk
461,idaks
462,islnd
463,stop
464,chevr
465,chmln
466,xrds
467,fre90
468,iwyb
469,jesus
470,cabo
471,wlwmy
472,chrch
473,fvrt
474,JOSE
475,track
476,proud
477,fade
478,bobs
480,grbg
481,AHAB
482,CRCKS
483,fire
484,ciftc
485,wrong
486,GSTR
487,down
488,machi
489,SKIP
490,slnt
491,LAST
492,PPPT
493,COMMA
494,TAUNT
495,hrtn
497,make
498,LOOSE
499,cnnmn
500,carne
501,debra
502,DEPTH
504,eland
505,frien
506,yngmy
507,knows
508,ndnt
509,sgnf
510,joker
511,10gn
512,grnds
513,rndbt
514,DISCO
515,peg
516,qrtr
518,march
519,lgio
520,mdnn
521,charl
522,klbs
523,nwbs
524,tenth
525,316
527,feud
528,PORT
529,stick
530,unski
531,swamp
532,tmob
533,btfl
534,bbbls
536,prds
537,rhnnn
538,built
539,weird
540,46n2
541,burni
542,fo76
543,dtrt
544,trpr
545,gtakm
546,miss
547,mthr
548,levee
