,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2020-01-17,"Beacon Theatre, New York, NY, USA",,['Anthem was in remembrance of Neil Peart'],"{'1': 'began with More Than Words (Extreme) tease', '2': 'debut, Rush; Kanika Moore on vocals', '3': ""with Can't You Hear Me Knocking (The Rolling Stones) tease and Jumpin' Jack Flash (The Rolling Stones) jam"", '4': 'with Crazy Train (Ozzy Osbourne) jam'}",,,"Unsung Hero >  JaJunk >  Ocean Billy,  Speak Up,  Wizard Burial Ground[1] >  Deeper >  Den >  Wizard Burial Ground,  Anthem[2]","Suxity >  JaJunk,  Breaker,  Wappy Sprayberry[3] >  Mulche's Odyssey,  Half Delayed >  It Doesn't Matter",,The Weight Around >  The Silent Type[4],,,,,,,
0,2020-01-18,"Beacon Theatre, New York, NY, USA",,['Limelight was in remembrance of Neil Peart'],"{'1': 'with Bright Lights, Big City jam', '2': ""Ain't Talkin' 'bout Love (Van Halen) tease"", '3': 'with Mike Stern and Leni Stern on guitars', '4': 'debut, Rush', '5': 'with Jake on keys', '6': 'with The Spirit of Radio and YYZ (Rush) teases'}",,,"End of the Road >  1348 >  Crucial Taunt,  Syncopated Strangers[1] >  Nothing Too Fancy[2],  Seasons,  It's About That Time[3]","Limelight[4],  Der Bluten Kat >  Higgins >  Der Bluten Kat,  Booth Love[5],  All In Time[6]",,Last Train Home >  1348,,,,,,,
0,2020-01-19,"Brooklyn Bowl, Brooklyn, NY, USA",,None,"{'1': 'began with YYZ (Rush) tease', '2': 'with Q*Bert teases'}",,,"Looks,  The Fussy Dutchman[1],  Maybe Someday >  Got Your Milk (Right Here) >  Walletsworth,  Domino Theory,  Miss Tinkle's Overture -> Tribulations >  Miss Tinkle's Overture","Front Porch >  Resolution >  Front Porch[2],  40's Theme,  Miami Virtue -> Out Of Order >  Gulf Stream,  The Floor",,Phil's Farm >  Suxity >  Phil's Farm,,,,,,,
0,2020-01-23,"Penn's Peak, Jim Thorpe, PA, USA",The New Deal,None,"{'1': 'with Rhiannon (Fleetwood Mac) teases', '2': 'with Oh Yeah (Yello) quote in intro; with Domino Theory jam'}",,,"Plunger >  Glory,  Roctopus,  Similar Skin,  Morning Song,  Remind Me","Night Nurse >  Ringo,  Example 1[1],  Hurt Bird Bath[2],  Cemetery Walk,  Cemetery Walk II",,Kashmir,,,,,,,
0,2020-01-24,"Stage AE, Pittsburgh, PA, USA",The New Deal,['last Tom Sawyer 02.18.2017 (264 shows)'],"{'1': 'debut, original; with Jake on acoustic', '2': 'with Blue Echo teases'}",,,"Depth Charge >  Mad Love >  Rocker Part 2,  Red Room[1],  Liberty Echo[2] >  Blue Echo,  Divisions >  Tom Sawyer >  Divisions","Slacker,  The Triple Wide >  In The Black,  Synchronicity II,  The Bottom Half,  Prowler >  The Linear >  Kula",,Conduit,,,,,,,
0,2020-01-25,"Express Live!, Columbus, OH, USA",The New Deal,None,{'1': 'with Proverbial jam'},,,"Gurgle >  Hindsight,  Puppet String >  Educated Guess,  2x2,  Looks >  Utopian Fir[1] >  Puppet String","Dump City >  Suxity >  Dump City,  In the Flesh? >  Another Brick in the Wall >  In The Kitchen,  Much Obliged,  Partyin' Peeps",,Wife Soup,,,,,,,
0,2020-01-29,"Clyde Theatre, Fort Wayne, IN, USA",The New Deal,['last Cocaine 08.28.2013 (607 shows)'],"{'1': 'incomplete', '2': 'original version', '3': 'unfinished'}",,,"Attachments >  2nd Self,  Triangle Tear >  Thin Air,  Nemo -> White Man's Moccasins >  Nemo,  Uncommon >  Frankie Zombie","Bridgeless -> Cocaine[1] -> Cut the Cable[2] >  Kimble,  I Wanna Be Your Lover,  Draconian,  The Floor",,Hangover[3] >  Bridgeless,,,,,,,
0,2020-01-30,"MGM Northfield Park, Northfield, OH, USA",The New Deal,None,{'1': 'with Jamie Shields on keys'},,,"Room to Breathe,  Intentions Clear >  Forks,  Push & Pull,  Hey Nineteen[1],  #5 >  40's Theme","The Silent Type,  Andy's Last Beer >  Miss Tinkle's Overture,  Booth Love >  Wappy Sprayberry >  Resolution >  Upward",,Limelight,,,,,,,
0,2020-01-31,"The Fillmore, Detroit, MI, USA",The New Deal,['last Meeting In the Aisle 07.09.2016 (322 shows)'],{},,,"Maybe Someday,  Whistle Kids >  Meeting in the Aisle >  Words,  Mail Package,  Miami Virtue >  1348 >  The Fuzz >  1348","North Route >  Bad Friday,  Go to Hell,  Preamble >  Mantis >  Hajimemashite >  Mantis,  Little Gift >  Hurt Bird Bath",,Hollywood Nights,,,,,,,
0,2020-02-01,"The Fillmore, Detroit, MI, USA",The New Deal,None,"{'1': ""with Workin' Day and Night (Michael Jackson) jam""}",,,"You Got the Wrong Guy >  Mulche's Odyssey,  Anchor Drops,  Make It Right,  Kabump >  Sociable Jimmy,  The Pequod >  Day Nurse[1]","Phil's Farm,  Suxity >  Lenny,  Believe the Lie,  JaJunk >  August",,Bullshit Anthem >  JaJunk,,,,,,,
