primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
01-17-2020-New_York-3-18,01-17-2020,"Beacon Theatre, New York, NY, USA",Beacon Theatre,New York,NY,USA,False,,['Anthem was in remembrance of Neil Peart'],"{1: 'began with More Than Words (Extreme) tease', 2: 'debut, Rush; Kanika Moore on vocals', 3: ""with Can't You Hear Me Knocking (The Rolling Stones) tease and Jumpin' Jack Flash (The Rolling Stones) jam"", 4: 'with Crazy Train (Ozzy Osbourne) jam'}",3,18
01-18-2020-New_York-3-15,01-18-2020,"Beacon Theatre, New York, NY, USA",Beacon Theatre,New York,NY,USA,False,,['Limelight was in remembrance of Neil Peart'],"{1: 'with Bright Lights, Big City jam', 2: ""Ain't Talkin' 'bout Love (Van Halen) tease"", 3: 'with Mike Stern and Leni Stern on guitars', 4: 'debut, Rush', 5: 'with Jake on keys', 6: 'with The Spirit of Radio and YYZ (Rush) teases'}",3,15
01-19-2020-Brooklyn-3-20,01-19-2020,"Brooklyn Bowl, Brooklyn, NY, USA",Brooklyn Bowl,Brooklyn,NY,USA,False,,,"{1: 'began with YYZ (Rush) tease', 2: 'with Q*Bert teases'}",3,20
01-23-2020-Jim_Thorpe-3-13,01-23-2020,"Penn's Peak, Jim Thorpe, PA, USA",Penn's Peak,Jim Thorpe,PA,USA,False,The New Deal,,"{1: 'with Rhiannon (Fleetwood Mac) teases', 2: 'with Oh Yeah (Yello) quote in intro; with Domino Theory jam'}",3,13
01-24-2020-Pittsburgh-3-18,01-24-2020,"Stage AE, Pittsburgh, PA, USA",Stage AE,Pittsburgh,PA,USA,False,The New Deal,['last Tom Sawyer 02.18.2017 (264 shows)'],"{1: 'debut, original; with Jake on acoustic', 2: 'with Blue Echo teases'}",3,18
01-25-2020-Columbus-3-17,01-25-2020,"Express Live!, Columbus, OH, USA",Express Live!,Columbus,OH,USA,False,The New Deal,,{1: 'with Proverbial jam'},3,17
01-29-2020-Fort_Wayne-3-18,01-29-2020,"Clyde Theatre, Fort Wayne, IN, USA",Clyde Theatre,Fort Wayne,IN,USA,False,The New Deal,['last Cocaine 08.28.2013 (607 shows)'],"{1: 'incomplete', 2: 'original version', 3: 'unfinished'}",3,18
01-30-2020-Northfield-3-15,01-30-2020,"MGM Northfield Park, Northfield, OH, USA",MGM Northfield Park,Northfield,OH,USA,False,The New Deal,,{1: 'with Jamie Shields on keys'},3,15
01-31-2020-Detroit-3-19,01-31-2020,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,False,The New Deal,['last Meeting In the Aisle 07.09.2016 (322 shows)'],{},3,19
02-01-2020-Detroit-vip-1-5,02-01-2020,"The Fillmore, Detroit, MI, USA",The Fillmore,Detroit,MI,USA,True,,['set for those who purchased the VIP package'],{},1,5
