,artist,times_played,debut_date,last_played
...And Justice for All,Metallica,28,2003.10.31,2020.03.06
...And We Became Sunshine,The Uglysuit,1,2010.09.25,2010.09.25
"""Brendan & Jake switch rigs""",Umphrey's McGee,2,2010.04.24,2014.05.03
"""Mrs Robinson's Strut""",Umphrey's McGee,1,2011.04.02,2011.04.02
(Don't Fear) The Reaper,Blue Öyster Cult,14,2001.10.31,2013.08.15
(Night Time Is) The Right TIme,Ray Charles,1,2005.12.31,2005.12.31
(Sittin' On) The Dock of the Bay,Otis Redding,2,2013.04.27,2018.12.14
#19,Umphrey's McGee,1,2011.04.02,2011.04.02
#5,Umphrey's McGee,159,2003.05.15,2020.03.05
A Fifth of Beethoven,Walter Murphy and the Big Apple Band,32,2000.11.18,2013.04.27
A Go Go,John Scofield,64,1999.03.17,2017.04.27
A Half Sleep,Jeff Coffin,2,2007.12.31,2008.05.01
A Love Supreme,John Coltrane,4,2009.06.27,2015.05.23
A Mild Sedative,Umphrey's McGee,6,2014.01.17,2015.02.13
Abacab,Genesis,16,2006.12.29,2017.05.26
AC/DC Medley,AC/DC,1,2003.09.24,2003.09.24
Ace of Long Nights,Motörhead/Ween,2,2012.10.27,2012.11.10
Addicted to Kiss,Robert Palmer/Prince/Genesis,1,2011.10.29,2011.10.29
Africa,Toto,68,2000.10.12,2019.10.24
After Midnight,J.J. Cale,2,2008.10.28,2013.07.03
Against All Odds,Phil Collins,1,2006.04.29,2006.04.29
Ahab,Umphrey's McGee,15,2004.08.07,2006.08.20
Ain't No Fun (If the Homies Can't Have None),Snoop Dogg,31,2000.10.31,2018.05.26
Ain't No Sunshine,Bill Withers,6,2005.09.11,2015.01.10
Ain't Too Proud to Beg,Holland/Whitfield,9,2003.12.31,2017.02.02
Alex's House,Umphrey's McGee,101,2007.03.06,2020.02.01
All Blues,Miles Davis,3,2000.04.14,2001.03.28
All I Need,Radiohead,1,2011.04.22,2011.04.22
All In Time,Umphrey's McGee,547,1998.02.07,2020.10.10
All Night Long,Lionel Richie,72,1999.08.27,2016.02.11
All Things Ninja,Umphrey's McGee,224,1999.06.24,2019.12.27
Alright,Jamiroquai,1,2019.12.31,2019.12.31
Always Up,30db,1,2006.09.22,2006.09.22
Amazing Grace,John Newton,8,2002.11.20,2011.11.26
Amble On,Umphrey's McGee,11,2013.04.26,2019.09.19
America the Beautiful,Bates/Ward,24,2000.12.15,2018.03.23
Anarchy in the U.K.,The Sex Pistols,1,2004.10.30,2004.10.30
Anchor Drops,Umphrey's McGee,263,2001.02.01,2020.02.01
Andy's Last Beer,Umphrey's McGee,346,2000.05.26,2020.10.09
Angular Momentum,Umphrey's McGee,5,2007.04.07,2010.01.14
Another Brick in the Wall,Pink Floyd,48,2001.08.24,2020.01.25
Another Brick in the Wall/Thriller,Pink Floyd/Michael Jackson,4,2008.10.31,2012.10.31
Anthem,Rush,1,2020.01.17,2020.01.17
Apeman,The Kinks,3,2001.12.31,2010.12.30
Ask Me No Questions,B.B. King,37,1999.01.28,2002.06.01
At Last,Etta James,1,2012.01.21,2012.01.21
Atmosfarag,Umphrey's McGee,104,2005.02.18,2019.08.29
Attachments,Umphrey's McGee,83,2015.12.06,2020.09.02
Auf Wiedersehen,Umphrey's McGee,5,2012.12.28,2016.04.21
August,Umphrey's McGee,385,1998.02.11,2020.06.11
Auld Lang Syne,Robert Burns,20,2000.12.31,2019.12.31
Australian Lullaby,Umphrey's McGee,1,2018.07.06,2018.07.06
Avenue,Citizen Dick,21,1998.08.22,2000.03.04
B. Onion,Umphrey's McGee,1,2001.02.01,2001.02.01
Baba O'Riley,The Who,54,2004.08.26,2019.12.27
Baby Bitch,Ween,1,2015.05.22,2015.12.12
Baby Honey Sugar Darlin',Umphrey's McGee,35,1998.08.27,2018.10.18
Baby You're A Rich Man,The Beatles,41,2000.10.28,2016.07.07
Back In Black,AC/DC,3,2002.03.23,2003.07.14
Back In Sexual Healing,AC/DC/Marvin Gaye,1,2015.10.31,2015.10.31
Bad Friday,Umphrey's McGee,117,2013.12.31,2020.09.05
Bad is Bad,Huey Lewis and the News,3,2005.04.26,2006.05.18
Bad Poker,Umphrey's McGee,68,2002.07.10,2020.06.11
Ballad of Jimi Hendrix,Stormtroopers of Death,3,2003.02.05,2003.12.04
Band on the Run,Wings,33,2001.10.19,2019.08.24
Barracuda,Heart,5,2009.11.14,2016.04.07
Bass solo,Umphrey's McGee,14,2000.09.28,2019.04.27
Bathing Digits,Umphrey's McGee,40,2014.02.22,2020.02.13
Bathtub Gin,Phish,6,1998.01.21,1998.05.23
Because,The Beatles,1,2002.12.31,2002.12.31
Believe the Lie,Umphrey's McGee,157,2005.02.16,2020.02.01
Bell Bottom Blues,Derek and the Dominos,4,2005.02.26,2010.12.14
Bennie and the Jets,Elton John,2,2012.08.11,2013.12.30
Big Bottom,Spinal Tap,38,1998.08.29,2013.02.17
Big Heart,The Lounge Lizards,32,2001.11.30,2019.11.08
Big Poppa,The Notorious B.I.G.,1,2013.03.09,2013.03.09
Billie Jean,Michael Jackson,31,1999.10.29,2013.12.16
Birthday,The Beatles,11,1998.09.19,2018.08.11
Bitch,The Rolling Stones,1,2018.07.20,2018.07.20
Bittersweet Haj,The Verve/Umphrey's McGee,6,2010.10.31,2019.08.16
Bittersweet Symphony,The Verve,2,2014.05.26,2017.04.01
Black Hole Sun,Soundgarden,1,2008.04.05,2008.04.05
Black Messiah,The Kinks,2,2007.12.31,2014.12.31
Black Sabbath,Black Sabbath,14,2004.10.30,2017.02.17
Black Water,The Doobie Brothers,43,2001.03.17,2018.03.08
Bloody Well Right,Supertramp,15,2006.12.30,2013.04.17
Blue Echo,Umphrey's McGee,260,2001.04.26,2020.01.24
Bob,Umphrey's McGee,52,1998.01.21,2013.01.20
Bob's Cloud,Dr. Didg,17,2000.01.28,2007.02.27
Bombtrack,Rage Against the Machine,5,2008.02.15,2020.02.29
Bonafide Lovin',Chromeo,4,2009.04.11,2011.04.02
Booth Love,Umphrey's McGee,209,2010.02.14,2020.09.05
Born Under a Bad Sign,William Bell/Booker T. Jones,2,2001.04.19,2007.04.03
Brain Damage,Pink Floyd,2,2006.06.16,2014.05.03
Brass In Pocket,The Pretenders,1,2018.01.26,2018.01.26
Breaker,Umphrey's McGee,12,2016.05.06,2020.03.05
Breathe,Pink Floyd,43,2005.12.31,2018.10.05
Bridge Of Sighs,Robin Trower,1,2006.11.08,2006.11.08
Bridgeless,Umphrey's McGee,367,2004.01.30,2020.09.06
"Bright Lights, Big City",Karl Engelmann,234,2004.01.30,2019.09.01
Bron-Y-Aur Stomp,Led Zeppelin,2,2010.04.24,2019.06.23
Bron-Yr-Aur,Led Zeppelin,13,2001.02.08,2016.03.25
Brown Eyed Girl,Van Morrison,1,2000.01.28,2000.01.28
Bubblehouse,Medeski Martin & Wood,15,1998.01.29,1999.06.05
Bubbles,Herbie Hancock,4,2003.06.08,2003.12.10
Bullhead City,Umphrey's McGee,15,2002.04.20,2019.05.24
Bulls on the Bus,Rage Against the Machine/The Beastie Boys,2,2010.10.30,2010.11.09
Bullshit Anthem,Fantastic Negrito,2,2019.12.31,2020.02.01
Burnin' and Lootin',Bob Marley,5,2005.05.13,2017.04.01
Burnin' for You,Blue Öyster Cult,1,2012.02.17,2012.02.17
Burning Down the House,Talking Heads,25,1998.01.21,2012.04.20
Bus Call,Umphrey's McGee,1,2011.04.02,2011.04.02
Bust a Move,Young MC,1,1998.10.31,1998.10.31
Call to Arms,Sturgill Simpson,5,2016.12.31,2019.10.19
Can't Find My Way Home,Blind Faith,22,2001.02.08,2013.03.10
Can't Rock My Dream Face,The Weeknd/Fleetwood Mac/Michael Jackson,2,2015.10.31,2018.12.30
Can't Stand Losing You,The Police,2,2019.10.31,2020.03.05
Can't Take My Eyes Off Of You,Frankie Valli,1,2009.12.31,2009.12.31
Can't You Hear Me Knocking,The Rolling Stones,32,2007.12.30,2019.05.10
Can't You See,The Marshall Tucker Band,19,2009.10.02,2020.03.05
Canary in a Coalmine,The Police,4,2017.12.31,2019.02.22
