,name,show,set,order,parent,out_transition,tag,stewart,stewart_with_lyrics
0,Unsung Hero,01-17-2020-New_York-3-18,Set 1,1,True,>,-1,False,False
1,JaJunk,01-17-2020-New_York-3-18,Set 1,2,True,>,-1,False,False
2,Ocean Billy,01-17-2020-New_York-3-18,Set 1,3,True,",",-1,False,False
3,Speak Up,01-17-2020-New_York-3-18,Set 1,4,True,",",-1,False,False
4,Wizard Burial Ground,01-17-2020-New_York-3-18,Set 1,5,True,>,1,False,False
5,Deeper,01-17-2020-New_York-3-18,Set 1,6,True,>,-1,False,False
6,Den,01-17-2020-New_York-3-18,Set 1,7,True,>,-1,False,False
7,Wizard Burial Ground,01-17-2020-New_York-3-18,Set 1,8,False,",",-1,False,False
8,Anthem,01-17-2020-New_York-3-18,Set 1,9,True,,2,False,False
9,Suxity,01-17-2020-New_York-3-18,Set 2,1,True,>,-1,False,False
10,JaJunk,01-17-2020-New_York-3-18,Set 2,2,False,",",-1,False,False
11,Breaker,01-17-2020-New_York-3-18,Set 2,3,True,",",-1,False,False
12,Wappy Sprayberry,01-17-2020-New_York-3-18,Set 2,4,True,>,3,False,False
13,Mulche's Odyssey,01-17-2020-New_York-3-18,Set 2,5,True,",",-1,False,False
14,Half Delayed,01-17-2020-New_York-3-18,Set 2,6,True,>,-1,False,False
15,It Doesn't Matter,01-17-2020-New_York-3-18,Set 2,7,True,,-1,False,False
16,The Weight Around,01-17-2020-New_York-3-18,Encore,1,True,>,-1,False,False
17,The Silent Type,01-17-2020-New_York-3-18,Encore,2,True,,4,False,False
18,End of the Road,01-18-2020-New_York-3-15,Set 1,1,True,>,-1,False,False
19,1348,01-18-2020-New_York-3-15,Set 1,2,True,>,-1,False,False
20,Crucial Taunt,01-18-2020-New_York-3-15,Set 1,3,True,",",-1,False,False
21,Syncopated Strangers,01-18-2020-New_York-3-15,Set 1,4,True,>,1,False,False
22,Nothing Too Fancy,01-18-2020-New_York-3-15,Set 1,5,True,",",2,False,False
23,Seasons,01-18-2020-New_York-3-15,Set 1,6,True,",",-1,False,False
24,It's About That Time,01-18-2020-New_York-3-15,Set 1,7,True,,3,False,False
25,Limelight,01-18-2020-New_York-3-15,Set 2,1,True,",",4,False,False
26,Der Bluten Kat,01-18-2020-New_York-3-15,Set 2,2,True,>,-1,False,False
27,Higgins,01-18-2020-New_York-3-15,Set 2,3,True,>,-1,False,False
28,Der Bluten Kat,01-18-2020-New_York-3-15,Set 2,4,False,",",-1,False,False
29,Booth Love,01-18-2020-New_York-3-15,Set 2,5,True,",",5,False,False
30,All In Time,01-18-2020-New_York-3-15,Set 2,6,True,,6,False,False
31,Last Train Home,01-18-2020-New_York-3-15,Encore,1,True,>,-1,False,False
32,1348,01-18-2020-New_York-3-15,Encore,2,False,,-1,False,False
33,Looks,01-19-2020-Brooklyn-3-20,Set 1,1,True,",",-1,False,False
34,The Fussy Dutchman,01-19-2020-Brooklyn-3-20,Set 1,2,True,",",1,False,False
35,Maybe Someday,01-19-2020-Brooklyn-3-20,Set 1,3,True,>,-1,False,False
36,Got Your Milk (Right Here),01-19-2020-Brooklyn-3-20,Set 1,4,True,>,-1,False,False
37,Walletsworth,01-19-2020-Brooklyn-3-20,Set 1,5,True,",",-1,False,False
38,Domino Theory,01-19-2020-Brooklyn-3-20,Set 1,6,True,",",-1,False,False
39,Miss Tinkle's Overture,01-19-2020-Brooklyn-3-20,Set 1,7,True,->,-1,False,False
40,Tribulations,01-19-2020-Brooklyn-3-20,Set 1,8,True,>,-1,False,False
41,Miss Tinkle's Overture,01-19-2020-Brooklyn-3-20,Set 1,9,False,,-1,False,False
42,Front Porch,01-19-2020-Brooklyn-3-20,Set 2,1,True,>,-1,False,False
43,Resolution,01-19-2020-Brooklyn-3-20,Set 2,2,True,>,-1,False,False
44,Front Porch,01-19-2020-Brooklyn-3-20,Set 2,3,False,",",2,False,False
45,40's Theme,01-19-2020-Brooklyn-3-20,Set 2,4,True,",",-1,False,False
46,Miami Virtue,01-19-2020-Brooklyn-3-20,Set 2,5,True,->,-1,False,False
47,Out Of Order,01-19-2020-Brooklyn-3-20,Set 2,6,True,>,-1,False,False
48,Gulf Stream,01-19-2020-Brooklyn-3-20,Set 2,7,True,",",-1,False,False
49,The Floor,01-19-2020-Brooklyn-3-20,Set 2,8,True,,-1,False,False
50,Phil's Farm,01-19-2020-Brooklyn-3-20,Encore,1,True,>,-1,False,False
51,Suxity,01-19-2020-Brooklyn-3-20,Encore,2,True,>,-1,False,False
52,Phil's Farm,01-19-2020-Brooklyn-3-20,Encore,3,False,,-1,False,False
53,Plunger,01-23-2020-Jim_Thorpe-3-13,Set 1,1,True,>,-1,False,False
54,Glory,01-23-2020-Jim_Thorpe-3-13,Set 1,2,True,",",-1,False,False
55,Roctopus,01-23-2020-Jim_Thorpe-3-13,Set 1,3,True,",",-1,False,False
56,Similar Skin,01-23-2020-Jim_Thorpe-3-13,Set 1,4,True,",",-1,False,False
57,Morning Song,01-23-2020-Jim_Thorpe-3-13,Set 1,5,True,",",-1,False,False
58,Remind Me,01-23-2020-Jim_Thorpe-3-13,Set 1,6,True,,-1,False,False
59,Night Nurse,01-23-2020-Jim_Thorpe-3-13,Set 2,1,True,>,-1,False,False
60,Ringo,01-23-2020-Jim_Thorpe-3-13,Set 2,2,True,",",-1,False,False
61,Example 1,01-23-2020-Jim_Thorpe-3-13,Set 2,3,True,",",1,False,False
62,Hurt Bird Bath,01-23-2020-Jim_Thorpe-3-13,Set 2,4,True,",",2,False,False
63,Cemetery Walk,01-23-2020-Jim_Thorpe-3-13,Set 2,5,True,",",-1,False,False
64,Cemetery Walk II,01-23-2020-Jim_Thorpe-3-13,Set 2,6,True,,-1,False,False
65,Kashmir,01-23-2020-Jim_Thorpe-3-13,Encore,1,True,,-1,False,False
66,Depth Charge,01-24-2020-Pittsburgh-3-18,Set 1,1,True,>,-1,False,False
67,Mad Love,01-24-2020-Pittsburgh-3-18,Set 1,2,True,>,-1,False,False
68,Rocker Part 2,01-24-2020-Pittsburgh-3-18,Set 1,3,True,",",-1,False,False
69,Red Room,01-24-2020-Pittsburgh-3-18,Set 1,4,True,",",1,False,False
70,Liberty Echo,01-24-2020-Pittsburgh-3-18,Set 1,5,True,>,2,False,False
71,Blue Echo,01-24-2020-Pittsburgh-3-18,Set 1,6,True,",",-1,False,False
72,Divisions,01-24-2020-Pittsburgh-3-18,Set 1,7,True,>,-1,False,False
73,Tom Sawyer,01-24-2020-Pittsburgh-3-18,Set 1,8,True,>,-1,False,False
74,Divisions,01-24-2020-Pittsburgh-3-18,Set 1,9,False,,-1,False,False
75,Slacker,01-24-2020-Pittsburgh-3-18,Set 2,1,True,",",-1,False,False
76,The Triple Wide,01-24-2020-Pittsburgh-3-18,Set 2,2,True,>,-1,False,False
77,In The Black,01-24-2020-Pittsburgh-3-18,Set 2,3,True,",",-1,False,False
78,Synchronicity II,01-24-2020-Pittsburgh-3-18,Set 2,4,True,",",-1,False,False
79,The Bottom Half,01-24-2020-Pittsburgh-3-18,Set 2,5,True,",",-1,False,False
80,Prowler,01-24-2020-Pittsburgh-3-18,Set 2,6,True,>,-1,False,False
81,The Linear,01-24-2020-Pittsburgh-3-18,Set 2,7,True,>,-1,False,False
82,Kula,01-24-2020-Pittsburgh-3-18,Set 2,8,True,,-1,False,False
83,Conduit,01-24-2020-Pittsburgh-3-18,Encore,1,True,,-1,False,False
84,Gurgle,01-25-2020-Columbus-3-17,Set 1,1,True,>,-1,False,False
85,Hindsight,01-25-2020-Columbus-3-17,Set 1,2,True,",",-1,False,False
86,Puppet String,01-25-2020-Columbus-3-17,Set 1,3,True,>,-1,False,False
87,Educated Guess,01-25-2020-Columbus-3-17,Set 1,4,True,",",-1,False,False
88,2x2,01-25-2020-Columbus-3-17,Set 1,5,True,",",-1,False,False
89,Looks,01-25-2020-Columbus-3-17,Set 1,6,True,>,-1,False,False
90,Utopian Fir,01-25-2020-Columbus-3-17,Set 1,7,True,>,1,False,False
91,Puppet String,01-25-2020-Columbus-3-17,Set 1,8,False,,-1,False,False
92,Dump City,01-25-2020-Columbus-3-17,Set 2,1,True,>,-1,False,False
93,Suxity,01-25-2020-Columbus-3-17,Set 2,2,True,>,-1,False,False
94,Dump City,01-25-2020-Columbus-3-17,Set 2,3,False,",",-1,False,False
95,In the Flesh?,01-25-2020-Columbus-3-17,Set 2,4,True,>,-1,False,False
96,Another Brick in the Wall,01-25-2020-Columbus-3-17,Set 2,5,True,>,-1,False,False
97,In The Kitchen,01-25-2020-Columbus-3-17,Set 2,6,True,",",-1,False,False
98,Much Obliged,01-25-2020-Columbus-3-17,Set 2,7,True,",",-1,False,False
99,Partyin' Peeps,01-25-2020-Columbus-3-17,Set 2,8,True,,-1,False,False
100,Wife Soup,01-25-2020-Columbus-3-17,Encore,1,True,,-1,False,False
101,Attachments,01-29-2020-Fort_Wayne-3-18,Set 1,1,True,>,-1,False,False
102,2nd Self,01-29-2020-Fort_Wayne-3-18,Set 1,2,True,",",-1,False,False
103,Triangle Tear,01-29-2020-Fort_Wayne-3-18,Set 1,3,True,>,-1,False,False
104,Thin Air,01-29-2020-Fort_Wayne-3-18,Set 1,4,True,",",-1,False,False
105,Nemo,01-29-2020-Fort_Wayne-3-18,Set 1,5,True,->,-1,False,False
106,White Man's Moccasins,01-29-2020-Fort_Wayne-3-18,Set 1,6,True,>,-1,False,False
107,Nemo,01-29-2020-Fort_Wayne-3-18,Set 1,7,False,",",-1,False,False
108,Uncommon,01-29-2020-Fort_Wayne-3-18,Set 1,8,True,>,-1,False,False
109,Frankie Zombie,01-29-2020-Fort_Wayne-3-18,Set 1,9,True,,-1,False,False
110,Bridgeless,01-29-2020-Fort_Wayne-3-18,Set 2,1,True,->,-1,False,False
111,Cocaine,01-29-2020-Fort_Wayne-3-18,Set 2,2,True,->,1,False,False
112,Cut the Cable,01-29-2020-Fort_Wayne-3-18,Set 2,3,True,>,2,False,False
113,Kimble,01-29-2020-Fort_Wayne-3-18,Set 2,4,True,",",-1,False,False
114,I Wanna Be Your Lover,01-29-2020-Fort_Wayne-3-18,Set 2,5,True,",",-1,False,False
115,Draconian,01-29-2020-Fort_Wayne-3-18,Set 2,6,True,",",-1,False,False
116,The Floor,01-29-2020-Fort_Wayne-3-18,Set 2,7,True,,-1,False,False
117,Hangover,01-29-2020-Fort_Wayne-3-18,Encore,1,True,>,3,False,False
118,Bridgeless,01-29-2020-Fort_Wayne-3-18,Encore,2,False,,-1,False,False
119,Room to Breathe,01-30-2020-Northfield-3-15,Set 1,1,True,",",-1,False,False
120,Intentions Clear,01-30-2020-Northfield-3-15,Set 1,2,True,>,-1,False,False
121,Forks,01-30-2020-Northfield-3-15,Set 1,3,True,",",-1,False,False
