,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2020-01-17,"Beacon Theatre, New York, NY, USA",,['Anthem was in remembrance of Neil Peart'],"{'1': 'began with More Than Words (Extreme) tease', '2': 'debut, Rush; Kanika Moore on vocals', '3': ""with Can't You Hear Me Knocking (The Rolling Stones) tease and Jumpin' Jack Flash (The Rolling Stones) jam"", '4': 'with Crazy Train (Ozzy Osbourne) jam'}",,,,,,,,,,,,,
0,2020-01-18,"Beacon Theatre, New York, NY, USA",,['Limelight was in remembrance of Neil Peart'],"{'1': 'with Bright Lights, Big City jam', '2': ""Ain't Talkin' 'bout Love (Van Halen) tease"", '3': 'with Mike Stern and Leni Stern on guitars', '4': 'debut, Rush', '5': 'with Jake on keys', '6': 'with The Spirit of Radio and YYZ (Rush) teases'}",,,,,,,,,,,,,
0,2020-01-19,"Brooklyn Bowl, Brooklyn, NY, USA",,None,"{'1': 'began with YYZ (Rush) tease', '2': 'with Q*Bert teases'}",,,,,,,,,,,,,
0,2020-01-23,"Penn's Peak, Jim Thorpe, PA, USA",The New Deal,None,"{'1': 'with Rhiannon (Fleetwood Mac) teases', '2': 'with Oh Yeah (Yello) quote in intro; with Domino Theory jam'}",,,,,,,,,,,,,
0,2020-01-24,"Stage AE, Pittsburgh, PA, USA",The New Deal,['last Tom Sawyer 02.18.2017 (264 shows)'],"{'1': 'debut, original; with Jake on acoustic', '2': 'with Blue Echo teases'}",,,,,,,,,,,,,
0,2020-01-25,"Express Live!, Columbus, OH, USA",The New Deal,None,{'1': 'with Proverbial jam'},,,,,,,,,,,,,
0,2020-01-29,"Clyde Theatre, Fort Wayne, IN, USA",The New Deal,['last Cocaine 08.28.2013 (607 shows)'],"{'1': 'incomplete', '2': 'original version', '3': 'unfinished'}",,,,,,,,,,,,,
0,2020-01-30,"MGM Northfield Park, Northfield, OH, USA",The New Deal,None,{'1': 'with Jamie Shields on keys'},,,,,,,,,,,,,
0,2020-01-31,"The Fillmore, Detroit, MI, USA",The New Deal,['last Meeting In the Aisle 07.09.2016 (322 shows)'],{},,,,,,,,,,,,,
0,2020-02-01,"The Fillmore, Detroit, MI, USA",The New Deal,None,"{'1': ""with Workin' Day and Night (Michael Jackson) jam""}",,,,,,,,,,,,,
0,2020-02-12,"Graceland Soundstage at Elvis Presley’s Memphis, Memphis, TN,",,['last Graceland 10.01.2010 (943 shows)'],{'1': 'incomplete'},,,,,,,,,,,,,
0,2020-02-13,"The Caverns, Pelham, TN,",,None,"{'1': 'with Cavern (Phish) tease and quote', '2': 'with Over the Hills and Far Away (Led Zeppelin) teases'}",,,,,,,,,,,,,
0,2020-02-14,"Exploreasheville.com Arena, Asheville, NC, USA",Billy Strings and Empire Strikes Brass,None,"{'1': 'with Billy Strings on guitar', '2': 'with Roundabout (Yes) intro'}",,,,,,,,,,,,,
0,2020-02-15,"Exploreasheville.com Arena, Asheville, NC, USA",Billy Strings and Empire Strikes Brass,['last Voodoo Child 02.21.2014 (574 shows)'],"{'1': 'with Empire Strikes Brass', '2': 'with Billy Strings on guitar'}",,,,,,,,,,,,,
